country1,beer_servings,spirit_servings,wine_servings,total_servings_pure_alcohol,country,region,hemisphere,happinessscore,hdi,gdp_percapita,beer_percapita,spirit_percapita,wine_percapita
Afghanistan,0,0,0,0,,,,,,,,,
Albania,89,132,54,4.9,Albania,Central and Eastern Europe,north,4.655,782,4.132,89,132,54
Algeria,25,0,14,0.7,,,,,,,,,
Andorra,245,138,312,12.4,,,,,,,,,
Angola,217,57,45,5.9,Angola,Sub-Saharan Africa,south,3.866,577,3.309,217,57,45
Antigua & Barbuda,102,128,45,4.9,,,,,,,,,
Argentina,193,25,221,8.3,Argentina,Latin America and Caribbean,south,6.65,822,12.654,193,25,221
Armenia,21,179,11,3.8,Armenia,Central and Eastern Europe,north,4.36,749,3.606,21,179,11
Australia,261,72,212,10.4,Australia,Australia and New Zealand,south,7.313,938,49.897,261,72,212
Austria,279,75,191,9.7,Austria,Western Europe,north,7.119,906,44.731,279,75,191
Azerbaijan,21,46,5,1.3,Azerbaijan,Central and Eastern Europe,north,5.291,757,3.881,21,46,5
Bahamas,122,176,51,6.3,,,,,,,,,
Bahrain,42,63,7,2,Bahrain,Middle East and Northern Africa,north,6.218,846,22.561,42,63,7
Bangladesh,0,0,0,0,,,,,,,,,
Barbados,143,173,36,6.3,,,,,,,,,
Belarus,142,373,42,14.4,Belarus,Central and Eastern Europe,north,5.802,805,5.023,142,373,42
Belgium,295,84,212,10.5,Belgium,Western Europe,north,6.929,915,41.261,295,84,212
Belize,263,114,8,6.8,Belize,Latin America and Caribbean,north,5.956,709,4.96,263,114,8
Benin,34,4,13,1.1,Benin,Sub-Saharan Africa,north,3.484,512,789,34,4,13
Bhutan,23,0,0,0.4,,,,,,,,,
Bolivia,167,41,8,3.8,Bolivia,Latin America and Caribbean,south,5.822,689,3.117,167,41,8
Bosnia-Herzegovina,76,173,8,4.6,Bosnia and Herzegovina,Central and Eastern Europe,north,5.163,766,4.809,76,173,8
Botswana,173,35,35,5.4,Botswana,Sub-Saharan Africa,south,3.974,712,6.954,173,35,35
Brazil,245,145,16,7.2,Brazil,Latin America and Caribbean,both,6.952,758,8.639,245,145,16
Brunei,31,2,1,0.6,,,,,,,,,
Bulgaria,231,252,94,10.3,Bulgaria,Central and Eastern Europe,north,4.217,810,7.469,231,252,94
Burkina Faso,25,7,7,4.3,Burkina Faso,Sub-Saharan Africa,north,3.739,420,614,25,7,7
Burundi,88,0,0,6.3,,,,,,,,,
Cote d'Ivoire,37,1,7,4,Cote d'Ivoire,Sub-Saharan Africa,north,3.916,486,1.535,37,1,7
Cabo Verde,144,56,16,4,,,,,,,,,
Cambodia,57,65,1,2.2,Cambodia,Southeastern Asia,north,3.907,576,1.27,57,65,1
Cameroon,147,1,4,5.8,Cameroon,Sub-Saharan Africa,south,4.513,553,1.375,147,1,4
Canada,240,122,100,8.2,Canada,North America,north,7.404,922,42.349,240,122,100
Central African Republic,17,2,1,1.8,,,,,,,,,
Chad,15,1,1,0.4,Chad,Sub-Saharan Africa,north,3.763,405,651,15,1,1
Chile,130,124,172,7.6,Chile,Latin America and Caribbean,south,6.705,842,13.961,130,124,172
China,79,192,8,5,China,Eastern Asia,noth,5.245,748,8.117,79,192,8
Colombia,159,76,3,4.2,Colombia,Latin America and Caribbean,both,6.481,747,5.757,159,76,3
Comoros,1,3,1,0.1,Comoros,Sub-Saharan Africa,south,3.956,502,775,1,3,1
Congo,76,1,9,1.7,Rep. Congo,Sub-Saharan Africa,south,4.236,612,498,76,1,9
Cook Islands,0,254,74,5.9,,,,,,,,,
Costa Rica,149,87,11,4.4,Costa Rica,Latin America and Caribbean,north,7.087,791,11.733,149,87,11
Croatia,230,87,254,10.2,Croatia,Central and Eastern Europe,north,5.488,828,12.299,230,87,254
Cuba,93,137,5,4.2,,,,,,,,,
Cyprus,192,154,113,8.2,Cyprus,Western Europe,north,5.546,867,23.541,192,154,113
Czech Republic,361,170,134,11.8,Czech Republic,Central and Eastern Europe,north,6.596,885,18.484,361,170,134
North Korea,0,0,0,0,,,,,,,,,
DR Congo,32,3,1,2.3,Dem. Rep. Congo,Sub-Saharan Africa,south,4.272,452,1.712,32,3,1
Denmark,224,81,278,10.4,Denmark,Western Europe,north,7.526,928,53.579,224,81,278
Djibouti,15,44,3,1.1,,,,,,,,,
Dominica,52,286,26,6.6,,,,,,,,,
Dominican Republic,193,147,9,6.2,Dominican Republic,Latin America and Caribbean,north,5.155,733,6.794,193,147,9
Ecuador,162,74,3,4.2,Ecuador,Latin America and Caribbean,both,5.976,749,6.019,162,74,3
Egypt,6,4,1,0.2,Egypt,Middle East and Northern Africa,north,4.362,694,3.548,6,4,1
El Salvador,52,69,2,2.2,El Salvador,Latin America and Caribbean,north,6.068,679,3.769,52,69,2
Equatorial Guinea,92,0,233,5.8,,,,,,,,,
Eritrea,18,0,0,0.5,,,,,,,,,
Estonia,224,194,59,9.5,Estonia,Central and Eastern Europe,north,5.517,868,17.737,224,194,59
Ethiopia,20,3,0,0.7,,,,,,,,,
Fiji,77,35,1,2,,,,,,,,,
Finland,263,133,97,10,Finland,Western Europe,north,7.413,918,43.433,263,133,97
France,127,151,370,11.8,France,Western Europe,north,6.478,899,36.87,127,151,370
Gabon,347,98,59,8.9,Gabon,Sub-Saharan Africa,south,4.121,698,7.079,347,98,59
Gambia,8,0,1,2.4,,,,,,,,,
Georgia,52,100,149,5.4,Georgia,Central and Eastern Europe,north,4.252,776,3.866,52,100,149
Germany,346,117,175,11.3,Germany,Western Europe,north,6.994,934,42.233,346,117,175
Ghana,31,3,10,1.8,Ghana,Sub-Saharan Africa,north,4.276,588,1.517,31,3,10
Greece,133,112,218,8.3,Greece,Western Europe,north,5.033,868,17.882,133,112,218
Grenada,199,438,28,11.9,,,,,,,,,
Guatemala,53,69,2,2.2,Guatemala,Latin America and Caribbean,north,6.324,649,4.141,53,69,2
Guinea,9,0,2,0.2,,,,,,,,,
Guinea-Bissau,28,31,21,2.5,,,,,,,,,
Guyana,93,302,1,7.1,,,,,,,,,
Haiti,1,326,1,5.9,Haiti,Latin America and Caribbean,north,4.028,496,735,1,326,1
Honduras,69,98,2,3,Honduras,Latin America and Caribbean,north,4.871,614,2.375,69,98,2
Hungary,234,215,185,11.3,Hungary,Central and Eastern Europe,north,5.145,835,12.82,234,215,185
Iceland,233,61,78,6.6,Iceland,Western Europe,north,7.501,933,60.53,233,61,78
India,9,114,0,2.2,,,,,,,,,
Indonesia,5,1,0,0.1,,,,,,,,,
Iran,0,0,0,0,,,,,,,,,
Iraq,9,3,0,0.2,,,,,,,,,
Ireland,313,118,165,11.4,Ireland,Western Europe,north,6.907,934,64.1,313,118,165
Israel,63,69,9,2.5,Israel,Middle East and Northern Africa,north,7.267,902,37.181,63,69,9
Italy,85,42,237,6.5,Italy,Western Europe,north,5.977,878,30.669,85,42,237
Jamaica,82,97,9,3.4,Jamaica,Latin America and Caribbean,north,5.51,732,4.879,82,97,9
Japan,77,202,16,7,Japan,Eastern Asia,noth,5.921,907,38.972,77,202,16
Jordan,6,21,1,0.5,Jordan,Middle East and Northern Africa,north,5.303,735,4.088,6,21,1
Kazakhstan,124,246,12,6.8,Kazakhstan,Central and Eastern Europe,north,5.919,797,7.715,124,246,12
Kenya,58,22,2,1.8,Kenya,Sub-Saharan Africa,both,4.356,585,1.463,58,22,2
Kiribati,21,34,1,1,,,,,,,,,
Kuwait,0,0,0,0,,,,,,,,,
Kyrgyzstan,31,97,6,2.4,Kyrgyzstan,Central and Eastern Europe,north,5.185,669,1.22,31,97,6
Laos,62,0,123,6.2,,,,,,,,,
Latvia,281,216,62,10.5,Latvia,Central and Eastern Europe,north,5.56,844,14.07,281,216,62
Lebanon,20,55,31,1.9,Lebanon,Middle East and Northern Africa,north,5.129,753,8.257,20,55,31
Lesotho,82,29,0,2.8,,,,,,,,,
Liberia,19,152,2,3.1,Liberia,Sub-Saharan Africa,north,3.622,432,455,19,152,2
Libya,0,0,0,0,,,,,,,,,
Lithuania,343,244,56,12.9,Lithuania,Central and Eastern Europe,north,5.813,855,14.913,343,244,56
Luxembourg,236,133,271,11.4,Luxembourg,Western Europe,north,6.871,904,100.739,236,133,271
Madagascar,26,15,4,0.8,Madagascar,Sub-Saharan Africa,south,3.695,517,402,26,15,4
Malawi,8,11,1,1.5,Malawi,Sub-Saharan Africa,south,4.156,474,300,8,11,1
Malaysia,13,4,0,0.3,,,,,,,,,
Maldives,0,0,0,0,,,,,,,,,
Mali,5,1,1,0.6,Mali,Sub-Saharan Africa,north,4.073,421,780,5,1,1
Malta,149,100,120,6.6,Malta,Western Europe,north,6.488,875,24.771,149,100,120
Marshall Islands,0,0,0,0,,,,,,,,,
Mauritania,0,0,0,0,,,,,,,,,
Mauritius,98,31,18,2.6,Mauritius,Sub-Saharan Africa,north,5.648,788,9.682,98,31,18
Mexico,238,68,5,5.5,Mexico,Latin America and Caribbean,north,6.778,772,8.444,238,68,5
Micronesia,62,50,18,2.3,,,,,,,,,
Monaco,0,0,0,0,,,,,,,,,
Mongolia,77,189,8,4.9,Mongolia,Eastern Asia,noth,4.907,743,3.694,77,189,8
Montenegro,31,114,128,4.9,Montenegro,Central and Eastern Europe,north,5.161,810,7.029,31,114,128
Morocco,12,6,10,0.5,Morocco,Middle East and Northern Africa,north,5.151,662,2.893,12,6,10
Mozambique,47,18,5,1.3,,,,,,,,,
Myanmar,5,1,0,0.1,,,,,,,,,
Namibia,376,3,1,6.8,Namibia,Sub-Saharan Africa,south,4.574,645,4.561,376,3,1
Nauru,49,0,8,1,,,,,,,,,
Nepal,5,6,0,0.2,,,,,,,,,
Netherlands,251,88,190,9.4,Netherlands,Western Europe,north,7.339,928,45.638,251,88,190
